Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
DOEL 4,1039,1,BE,,,STUR,NUC,0.405,24,24,0.0033044316,0.0033044316,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
TIHANGE 3,1038,1,BE,,,STUR,NUC,0.405,24,24,0.0033044316,0.0033044316,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
COO II T,690,1,BE,,,HPHS,WAT,0.86,0,0,0.4347826087,0.4347826087,0,,0,0,0.86,0,0,,,,,,,,,2963.9175257732,0,690,0.86,,,,,,,,
TIHANGE 1N,481,1,BE,,,STUR,NUC,0.405,24,24,0.0071309771,0.0071309771,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
TIHANGE 1S,481,1,BE,,,STUR,NUC,0.405,24,24,0.0071309771,0.0071309771,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
HERDERSBRUG STEG,480,1,BE,,,COMC,GAS,0.55,5,1,0.024495614,0.024495614,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
COO I T,474,1,BE,,,HPHS,WAT,0.86,0,0,0.6329113924,0.6329113924,0,,0,0,0.86,0,0,,,,,,,,,2036.0824742268,0,474,0.86,,,,,,,,
EDF Luminus Seraing TGV,470,1,BE,,,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
DROGENBOS TGV,465,1,BE,,,COMC,GAS,0.525,5,1,0.0240215054,0.0240215054,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
Amercoeur 1 R TGV,451,1,BE,,,COMC,GAS,0.525,5,1,0.024767184,0.024767184,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
DOEL 1,445,1,BE,,,STUR,NUC,0.405,24,24,0.0079214781,0.0079214781,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
DOEL 2,445,1,BE,,,STUR,NUC,0.405,24,24,0.0079214781,0.0079214781,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
T-power Beringen,422,1,BE,,,COMC,GAS,0.525,5,1,0.0264691943,0.0264691943,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
Marcinelle Energie (Carsid),413,1,BE,,,COMC,GAS,0.525,5,1,0.0270460048,0.0270460048,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
Zandvliet Power,386,1,BE,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
SAINT-GHISLAIN STEG,386,1,BE,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
VILVOORDE TGV,385,1,BE,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
RINGVAART STEG,385,1,BE,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
Norther Offshore WP,370,1,BE,,,WTOF,WIN,1,0,0,0.35,0.35,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Zelzate 2 Knippegroen,315,1,BE,,,COMC,GAS,0.525,5,1,0.0354603175,0.0354603175,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
Rentel Offshore WP,307,1,BE,,,WTOF,WIN,1,0,0,0.4487179487,0.4487179487,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
RODENHUIZE 4,268,1,BE,,,STUR,BIO,0.45,8,6,0.0186567164,0.0186567164,2000,,0,0.2,0.45,0,0,,,,,,,,,,,,,,,,,,,,
Seastar,252,1,BE,,,WTOF,WIN,1,0,0,0.562248996,0.562248996,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Mermaid,236,1,BE,,,WTOF,WIN,1,0,0,0.562248996,0.562248996,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Northwester 2,219,1,BE,,,WTOF,WIN,1,0,0,0.6542056075,0.6542056075,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Northwind,216,1,BE,,,WTOF,WIN,1,0,0,0.6542056075,0.6542056075,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Thorntonbank - C-Power - Area SW,178,1,BE,,,WTOF,WIN,1,0,0,0.7865168539,0.7865168539,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Belwind Phase 1,171,1,BE,,,WTOF,WIN,1,0,0,0.8187134503,0.8187134503,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Nobelwind Offshore Windpark,165,1,BE,,,WTOF,WIN,1,0,0,0.8187134503,0.8187134503,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Thorntonbank - C-Power - Area NE,148,1,BE,,,WTOF,WIN,1,0,0,0.9333333333,0.9333333333,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
PLATE-TAILLE T,144,1,BE,,,HPHS,WAT,0.86,0,0,2.0833333333,2.0833333333,0,,0,0,0.86,0,0,,,,,,,,,710,0,144,0.86,,,,,,,,
Scheldelaan Exxonmobil,140,1,BE,,,COMC,GAS,0.525,5,1,0.0797857143,0.0797857143,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
INESCO WKK,138,1,BE,,,COMC,GAS,0.525,5,1,0.080942029,0.080942029,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
Kristal _ Solar _ Park,99,1,BE,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Dispa-SET_BIO_STUR_BE,462,1,BE,,,STUR,BIO,0.45,8,6,0.0111607143,0.0111607143,2000,,0,0.2,0.45,0,0,,,,,,,,,,,,,,,,,,,,
Dispa-SET_GAS_COMC_BE,2152,1,BE,,,COMC,GAS,0.525,5,1,0.0055710723,0.0055710723,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
Dispa-SET_NUC_STUR_BE,1008,1,BE,,,STUR,NUC,0.405,24,24,0.0034027778,0.0034027778,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
Dispa-SET_OIL_STUR_BE,450,1,BE,,,STUR,OIL,0.33,4,4,0.02,0.02,,0,0,0.4,0.33,0,0.799636364,,,,,,,,,,,,,,,,,,,,
Dispa-SET_OTH_STUR_BE,27,1,BE,,,STUR,OTH,0.3,4,4,0.02,0.02,,0,0,0.5,0.3,0,0,,,,,,,,,,,,,,,,,,,,
Dispa-SET_WAT_HROR_BE,186,1,BE,,,HROR,WAT,1,0,0,1.1764705882,1.1764705882,0,,0,0,1,0.3,0,,,,,,,,,,,,,,,,,,,,
Dispa-SET_WST_STUR_BE,384,1,BE,,,STUR,WST,0.465,7.335,7.335,1.8134831461,1.8134831461,0,,0,0.3,0.465,0,0,,,,,,,,,,,,,,,,,,,,
Dispa-SET_WIN_WTON_BE,3053,1,BE,,,WTON,WIN,1,0,0,0.0443786982,0.0443786982,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
Dispa-SET_SUN_PHOT_BE,6376,1,BE,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
VPP_BE,1245,1,BE,,,P2BS,GAS,1,0,0,1,1,0,0,0,0,,0,0,,,,,,,,,7543,,1245,,0,0,S_1,0.974,0.974,,,
